burst,version,luts,regs,bram,dsp,slack,cycles,crit,time,throughput
1,1,2248,1919,12,0,-7.526,3609,8.526,30.770,8319.792
1,2,1845,1949,12,0,-6.949,6160,7.949,48.966,5228.117
1,3,2527,2328,12,0,-8.849,14113,9.849,138.999,1841.740
1,4,1893,2015,12,0,-7.148,6194,8.148,50.469,5072.421
1,5,2221,1983,12,0,-7.812,4006,8.812,35.301,7251.919
1,6,2686,2402,12,0,-8.489,30522,9.489,289.623,883.908
2,1,2448,2202,12,0,-7.557,2206,8.557,18.877,13561.477
2,2,2041,2324,12,0,-7.392,3713,8.392,31.159,8215.925
2,3,2803,2701,12,0,-8.498,7458,9.498,70.836,3613.982
2,4,2101,2356,12,0,-7.425,3387,8.425,28.535,8971.439
2,5,2330,2202,12,0,-7.811,2652,8.811,23.367,10955.621
2,6,2825,2816,12,0,-9.049,15141,10.049,152.152,1682.528
4,1,2713,2754,14,0,-8.137,1563,9.137,14.281,17925.916
4,2,2295,2718,14,0,-8.022,2827,9.022,25.505,10037.248
4,3,3309,3349,14,0,-8.490,4449,9.490,42.221,6063.333
4,4,2498,2779,14,0,-8.351,2040,9.351,19.076,13420.004
4,5,2708,2576,14,0,-8.089,1654,9.089,15.033,17029.202
4,6,3226,3432,14,0,-8.789,7794,9.789,76.295,3355.397
8,1,3093,3576,18,0,-8.149,1258,9.149,11.509,22243.462
8,2,2656,3226,18,0,-8.464,2362,9.464,22.354,11452.089
8,3,4092,4741,18,0,-9.457,3009,10.457,31.465,8136.024
8,4,2919,3645,18,0,-8.582,1502,9.582,14.392,17787.660
8,5,3062,3568,18,0,-8.278,1460,9.278,13.546,18898.568
8,6,3816,4656,18,0,-8.994,4972,9.994,49.690,5151.942
1,7,2331,2120,12,0,-8.677,51388,9.677,497.282,514.798
2,7,2548,2530,12,0,-8.985,23824,9.985,237.883,1076.159
4,7,2891,2992,14,0,-8.327,11370,9.327,106.048,2414.001
8,7,3581,4113,18,0,-9.025,6281,10.025,62.967,4065.622
