threads,version,luts,regs,bram,dsp,slack,cycles,crit,time
0,1,1629,1584,8,0,-6.528,2521,7.528,18.978
0,2,1419,1599,8,0,-6.271,3417,7.271,24.845
0,3,1953,1872,8,0,-7.334,9489,8.334,79.081
0,4,1521,1600,8,0,-6.395,3863,7.395,28.567
0,5,1697,1571,8,0,-6.771,2581,7.771,20.057
0,6,1931,1858,8,0,-7.354,9489,8.354,79.271
0,7,1612,1659,8,0,-7.157,17213,8.157,140.406
1,1,2185,1964,12,0,-7.688,3041,8.688,26.420
1,2,1838,2027,12,0,-7.481,6127,8.481,51.963
1,3,2689,2283,12,0,-8.310,15764,9.310,146.763
1,4,1896,2015,12,0,-6.800,6194,7.800,48.313
1,5,2223,1983,12,0,-7.479,4006,8.479,33.967
1,6,2629,2432,12,0,-9.022,25924,10.022,259.810
2,1,2805,2346,16,0,-8.103,4205,9.103,38.278
2,2,2383,2458,16,0,-8.889,8070,9.889,79.804
2,3,3438,2694,16,0,-9.198,36104,10.198,368.189
2,4,2381,2445,16,0,-8.100,8080,9.100,73.528
2,5,2863,2397,16,0,-7.999,5175,8.999,46.570
2,6,3370,3011,16,0,-9.732,25909,10.732,278.055
3,1,3151,2726,20,0,-9.645,5494,10.645,58.484
3,2,2677,2886,20,0,-8.472,10145,9.472,96.093
3,3,3894,3107,20,0,-10.303,33078,11.303,373.881
3,4,2776,2874,20,0,-9.392,10158,10.392,105.562
3,5,3358,2810,20,0,-8.483,6470,9.483,61.355
3,6,3873,3582,20,0,-10.882,25684,11.882,305.177
4,1,3709,3107,24,0,-8.791,7692,9.791,75.312
4,2,3031,3316,24,0,-9.537,12180,10.537,128.341
4,3,4467,3520,24,0,-9.858,61742,10.858,670.395
4,4,3141,3303,24,0,-9.107,12244,10.107,123.750
4,5,3849,3224,24,0,-8.893,7770,9.893,76.869
4,6,4396,4118,24,0,-10.543,26487,11.543,305.739
5,1,4170,3487,28,0,-9.232,8994,10.232,92.027
5,2,3526,3744,28,0,-9.626,14276,10.626,151.697
5,3,4905,3925,28,0,-10.557,55407,11.557,640.339
5,4,3546,3732,28,0,-9.308,14338,10.308,147.796
5,5,4354,3634,28,0,-9.661,9074,10.661,96.738
5,6,4978,4689,28,0,-11.056,28084,12.056,338.581
