version,threads,cycles,packets,freq,lut,regs,bram
1,1,17929,512,154.11,789,1310,21
2,1,21001,511,161.6,912,1817,21
3,1,21035,511,146.56,998,1895,21
4,1,19465,511,167.31,925,1784,21
5,1,10280,511,148.9,982,1834,21
7,1,9253,512,143.29,885,1430,21
1,2,17932,512,158.08,1249,2139,38
2,2,21004,510,158.81,1444,2876,38
3,2,21035,510,140.19,1635,3069,38
4,2,19468,510,175.28,1458,2830,38
5,2,10280,509,136.5,1607,3062,38
7,2,9253,511,138.99,1447,2394,38
1,4,17938,512,155.42,2278,3903,72
2,4,21010,508,164.91,2524,5004,72
3,4,21035,508,127.94,2908,5370,72
4,4,19474,508,162.52,2562,4967,72
5,4,10280,505,133.16,2875,5444,72
7,4,9253,509,123.84,2625,4562,72
1,8,17950,512,153.54,4234,7349,140
2,8,21022,504,160.82,4630,9254,140
3,8,21035,504,115.04,5424,10057,140
4,8,19486,504,152.93,4657,9201,140
5,8,10300,498,130.19,5526,10260,140
7,8,9271,506,125.61,4980,8686,140
6,4,41866,502,153.23,2372,4424,72
9,4,48925,504,141.44,2675,5359,72
8,4,29407,501,179.34,2469,4898,72
6,1,24586,511,154.92,872,1558,21
9,1,49700,510,145.84,941,1801,21
8,1,30713,510,190.48,888,1700,21
6,2,42432,510,161.63,1369,2504,38
9,2,45620,509,148.24,1493,2996,38
8,2,29707,509,187.16,1422,2753,38
6,8,40912,488,143.86,4433,8228,140
9,8,48232,498,133.49,5013,10107,140
8,8,28887,487,168.49,4596,9203,140
