version,threads,cycles,packets,freq,lut,regs,bram
1,1,6670,510,103.49,1163,1261,22
2,1,14264,511,117.47,1019,1410,13
3,1,12304,511,109.19,1133,1310,22
4,1,8375,511,107.05,1202,1371,22
5,1,6932,510,107.43,1209,1255,22
7,1,6162,510,104.66,1232,1220,22
1,2,9232,509,87.14,1628,1579,30
2,2,18363,510,107.48,1369,1794,17
3,2,16148,510,106.09,1547,1659,30
4,2,10938,510,93.76,1640,1764,30
5,2,10259,508,99.53,1593,1659,30
7,2,8214,509,95.37,1667,1636,30
1,4,14356,507,84.5,2421,2203,46
2,4,26559,508,101.07,2377,2556,46
3,4,24346,508,101.34,2337,2405,46
4,4,16063,508,97.93,2531,2551,46
5,4,15389,504,89.23,2468,2453,46
7,4,12318,507,88.33,2551,2451,46
1,8,24604,503,75.51,4060,3418,78
2,8,42953,504,92.64,3891,4098,78
3,8,40990,504,91.22,3846,3850,78
4,8,26313,504,87.12,4260,4067,78
5,8,25641,497,83.96,4179,4005,78
7,8,20526,503,81.12,4208,4053,78
6,1,25620,510,109.93,1287,1530,22
9,1,102723,510,104.98,1276,1595,22
8,1,43583,510,106.94,1326,1613,22
6,4,47027,507,96.26,2553,2641,46
9,4,114443,505,96.36,2635,2926,46
8,4,39550,247,101.98,2752,2881,46
6,8,74931,503,86.75,4372,4095,78
9,8,161616,476,82.99,4850,4640,78
8,8,56071,241,91.35,4629,4555,78
6,2,40936,509,104.36,1762,1901,30
9,2,101985,509,102.95,1702,2022,30
8,2,34135,268,108.57,1760,2019,30
