version,threads,cycles,packets,freq,lut,regs,bram
1,1,23361,512,99.86,1783,2404,37
2,1,30222,511,113.99,1581,2535,28
3,1,27953,511,108.68,1669,2438,37
4,1,23138,511,108.96,1678,2519,33
5,1,14719,511,100.0,1767,2399,37
7,1,6202,511,102.87,1810,2475,37
1,2,25274,511,98.56,2695,3821,60
2,2,31300,510,103.66,2422,3990,47
3,2,31454,510,105.91,2676,3930,60
4,2,26133,510,102.51,2746,3996,59
5,2,17790,509,97.88,2747,3885,60
7,2,8262,510,100.57,2856,4073,60
1,4,26076,509,83.56,4752,6655,106
2,4,39615,508,98.82,4358,6933,106
3,4,37603,508,98.95,4390,6856,106
4,4,26827,508,97.33,4617,6916,106
5,4,21655,504,84.64,4692,6833,106
7,4,12382,508,94.43,4810,7355,106
1,8,33336,506,78.24,8506,12294,198
2,8,47306,504,92.19,7839,12691,198
3,8,52655,504,93.38,8037,12707,198
4,8,34777,504,85.53,8362,12766,198
5,8,33325,497,79.08,8629,12757,198
7,8,20622,504,82.47,8707,13781,198
6,1,40980,510,113.73,1820,2581,37
9,1,114850,510,108.3,1792,2651,37
8,1,49235,510,113.64,1813,2675,37
6,4,73930,506,99.6,4683,6970,106
9,4,125787,506,93.98,4926,7186,106
8,4,65240,503,97.37,4863,7238,106
6,8,93024,497,89.02,8582,12656,198
9,8,172892,501,84.72,8975,13155,198
8,8,89703,488,89.6,8839,13241,198
6,2,67528,509,106.24,2778,4035,60
9,2,115251,509,101.95,2706,4160,60
8,2,62571,508,108.01,2756,4173,60
