version,threads,cycles,packets,freq,lut,regs,bram
1,1,1545,511,142.57,435,587,6
2,1,4617,511,193.12,548,1077,6
3,1,4619,511,193.95,578,1078,6
4,1,3593,511,191.64,539,1072,6
5,1,2574,511,170.88,558,1006,6
7,1,1375,682,136.13,463,548,6
1,2,1548,511,149.63,541,697,8
2,2,4620,510,189.68,725,1420,8
3,2,4628,511,185.12,784,1435,8
4,2,3596,510,190.73,719,1459,8
5,2,2574,510,172.15,764,1398,8
7,2,1037,511,145.22,600,674,8
1,4,1554,511,148.04,838,1006,12
2,4,4626,508,184.26,1083,2102,12
3,4,4628,509,183.96,1194,2172,12
4,4,3602,508,195.01,1081,2176,12
5,4,2584,510,173.04,1191,2175,12
7,4,1043,511,141.4,937,1019,12
1,8,1566,511,137.67,1377,1559,20
2,8,4638,504,186.64,1803,3479,20
3,8,4646,507,172.62,2032,3619,20
4,8,3614,504,192.31,1795,3691,20
5,8,2594,508,184.71,2045,3762,20
7,8,1055,511,133.01,1573,1658,20
6,4,10238,509,166.89,989,1531,12
9,4,29040,419,143.72,1281,2449,12
8,4,13308,505,183.86,1103,1994,12
6,1,8202,511,163.56,508,839,6
9,1,32330,510,159.34,584,1078,6
8,1,13353,510,189.29,558,985,6
6,2,10238,510,166.78,679,1063,8
9,2,27717,509,155.98,808,1532,8
8,2,13326,509,176.18,739,1299,8
6,8,10238,507,161.97,1582,2445,20
9,8,29085,418,133.12,2246,4301,20
8,8,13272,497,185.6,1834,3346,20
